email,label
offer prize prize win claim claim!,1
limited time exclusive congratulations congratulations urgent win!,1
offer congratulations claim offer congratulations offer claim limited time!,1
limited time claim prize exclusive congratulations!,1
offer congratulations claim win exclusive free free!,1
win win win free offer urgent free limited time!,1
claim offer exclusive congratulations urgent!,1
exclusive congratulations congratulations limited time urgent claim!,1
free exclusive gift card claim free offer prize win offer urgent!,1
congratulations win offer urgent exclusive exclusive win!,1
urgent exclusive limited time urgent prize prize claim win urgent!,1
urgent offer exclusive win gift card!,1
offer congratulations win prize win claim!,1
congratulations gift card free exclusive prize congratulations prize gift card claim claim!,1
prize congratulations claim prize exclusive prize congratulations urgent win!,1
gift card limited time congratulations free exclusive win claim!,1
exclusive offer gift card congratulations gift card offer offer!,1
offer offer free urgent free!,1
free offer exclusive free exclusive limited time free gift card congratulations prize!,1
gift card urgent gift card gift card urgent urgent!,1
win exclusive win urgent urgent congratulations free urgent offer!,1
exclusive urgent urgent free offer congratulations offer claim!,1
urgent claim urgent free free urgent congratulations exclusive offer!,1
prize exclusive free prize limited time prize prize exclusive gift card exclusive!,1
congratulations offer offer claim claim limited time exclusive free win congratulations!,1
win prize free claim claim claim!,1
limited time claim limited time exclusive offer prize exclusive urgent limited time!,1
gift card win prize offer urgent congratulations!,1
offer exclusive congratulations gift card offer gift card win congratulations!,1
congratulations urgent congratulations claim win congratulations claim offer free exclusive!,1
gift card offer offer prize win!,1
prize offer claim offer gift card urgent gift card offer!,1
limited time congratulations congratulations offer urgent claim!,1
gift card win free urgent congratulations offer offer congratulations gift card!,1
limited time exclusive exclusive claim prize congratulations gift card prize!,1
free win offer free offer urgent exclusive congratulations urgent!,1
gift card offer claim limited time limited time!,1
prize win congratulations limited time free!,1
prize prize limited time free prize!,1
prize free urgent claim offer!,1
claim exclusive exclusive free limited time urgent urgent!,1
prize gift card limited time exclusive exclusive exclusive!,1
exclusive prize exclusive claim prize free gift card!,1
claim win prize free gift card!,1
win free free congratulations free!,1
gift card limited time prize offer exclusive prize gift card urgent!,1
prize claim claim exclusive prize!,1
limited time limited time claim congratulations claim gift card claim!,1
offer offer claim offer claim congratulations free offer gift card!,1
prize offer congratulations prize offer offer win urgent!,1
limited time free free gift card urgent win!,1
win congratulations claim offer limited time!,1
limited time offer prize offer urgent!,1
limited time offer gift card exclusive gift card limited time!,1
urgent prize free exclusive prize urgent urgent gift card!,1
urgent congratulations free gift card limited time free free!,1
prize win free congratulations claim congratulations congratulations offer claim urgent!,1
urgent offer congratulations gift card win congratulations!,1
win limited time offer urgent prize gift card offer!,1
urgent claim gift card gift card offer!,1
win exclusive congratulations congratulations free exclusive congratulations gift card!,1
limited time urgent gift card win gift card congratulations exclusive claim!,1
exclusive prize prize congratulations gift card congratulations win!,1
urgent win gift card exclusive win win offer offer!,1
congratulations free urgent win exclusive urgent gift card congratulations!,1
prize prize gift card congratulations prize urgent congratulations!,1
free offer exclusive urgent win win limited time urgent free!,1
claim claim urgent win congratulations congratulations!,1
win urgent claim exclusive offer win prize!,1
gift card claim prize win free prize exclusive!,1
urgent prize free free exclusive claim!,1
free win limited time limited time prize prize congratulations urgent!,1
claim exclusive exclusive congratulations congratulations prize gift card!,1
free claim exclusive exclusive gift card offer free offer claim urgent!,1
claim urgent congratulations claim congratulations offer win exclusive prize!,1
exclusive offer free free claim win!,1
prize claim claim congratulations exclusive congratulations win!,1
win prize exclusive win urgent exclusive gift card exclusive limited time!,1
urgent prize urgent offer prize!,1
exclusive exclusive prize congratulations exclusive free exclusive limited time win!,1
prize limited time exclusive prize win prize exclusive!,1
offer free gift card congratulations win win exclusive claim!,1
win prize offer gift card congratulations prize congratulations urgent win win!,1
urgent prize exclusive prize gift card free exclusive claim!,1
urgent claim gift card limited time limited time free free offer!,1
claim win win limited time prize prize!,1
urgent offer claim limited time offer gift card win!,1
congratulations free congratulations urgent exclusive prize!,1
free prize congratulations urgent gift card limited time congratulations congratulations exclusive free!,1
free claim limited time claim exclusive exclusive win offer offer claim!,1
urgent exclusive prize urgent exclusive limited time gift card gift card limited time gift card!,1
prize win limited time offer offer win congratulations offer urgent!,1
urgent congratulations urgent congratulations gift card offer congratulations!,1
prize exclusive claim gift card win urgent exclusive!,1
claim congratulations gift card congratulations win!,1
limited time claim win gift card urgent!,1
claim free free prize limited time!,1
prize win exclusive free limited time free prize prize!,1
gift card exclusive claim win offer limited time!,1
congratulations gift card congratulations urgent congratulations congratulations!,1
congratulations limited time gift card congratulations win!,1
free limited time urgent limited time gift card offer prize win!,1
claim free free gift card offer win prize congratulations offer limited time!,1
congratulations win gift card gift card offer free gift card!,1
prize congratulations limited time offer congratulations win win free prize!,1
prize claim urgent prize win win!,1
prize claim free limited time limited time exclusive exclusive congratulations!,1
prize free exclusive claim gift card win exclusive claim win win!,1
limited time urgent win win congratulations limited time win offer!,1
gift card offer claim limited time win free win!,1
win win prize claim exclusive gift card offer congratulations!,1
limited time gift card exclusive gift card prize gift card exclusive!,1
congratulations congratulations exclusive prize urgent limited time offer win!,1
gift card claim urgent urgent congratulations offer claim limited time offer!,1
exclusive limited time limited time offer win offer urgent exclusive free urgent!,1
prize offer claim free limited time exclusive gift card win!,1
free offer free urgent limited time!,1
congratulations urgent claim free gift card prize win!,1
exclusive congratulations claim prize gift card gift card win limited time offer!,1
free limited time exclusive congratulations free limited time urgent!,1
exclusive free exclusive limited time urgent!,1
free free free free prize congratulations gift card!,1
offer gift card prize offer free urgent win congratulations win prize!,1
free urgent congratulations limited time claim offer urgent!,1
prize exclusive urgent claim win limited time prize congratulations gift card limited time!,1
exclusive urgent free gift card gift card win prize limited time urgent!,1
congratulations claim exclusive win urgent!,1
limited time gift card prize claim claim offer free exclusive win!,1
limited time prize urgent exclusive congratulations exclusive win!,1
offer free congratulations urgent free prize urgent win!,1
gift card exclusive win congratulations urgent claim offer gift card!,1
prize exclusive gift card free offer exclusive exclusive win limited time!,1
claim win free urgent urgent win win win!,1
claim gift card claim congratulations claim!,1
win gift card exclusive prize gift card win free exclusive!,1
free limited time free gift card offer exclusive limited time gift card!,1
exclusive urgent claim prize win!,1
gift card offer gift card congratulations congratulations!,1
prize urgent exclusive exclusive gift card prize gift card urgent urgent free!,1
claim prize offer free free urgent urgent free offer!,1
urgent urgent limited time congratulations prize win win free win!,1
gift card offer win urgent urgent exclusive!,1
limited time congratulations prize gift card free free!,1
offer limited time claim congratulations free exclusive limited time claim limited time!,1
limited time gift card gift card offer free free gift card limited time congratulations!,1
